"","GEO.NAME","GEO.CODE"
"1","St. John's","10001"
"2","Halifax","12205"
"3","Moncton","13305"
"4","Saint John","13310"
"5","Saguenay","24408"
"6","Québec","24421"
"7","Sherbrooke","24433"
"8","Trois-Rivières","24442"
"9","Montréal","24462"
"10","Ottawa - Gatineau","35505"
"11","Kingston","35521"
"12","Belleville","35522"
"13","Peterborough","35529"
"14","Oshawa","35532"
"15","Toronto","35535"
"16","Hamilton","35537"
"17","St. Catharines - Niagara","35539"
"18","Kitchener - Cambridge - Waterloo","35541"
"19","Brantford","35543"
"20","Guelph","35550"
"21","London","35555"
"22","Windsor","35559"
"23","Barrie","35568"
"24","Greater Sudbury","35580"
"25","Thunder Bay","35595"
"26","Winnipeg","46602"
"27","Regina","47705"
"28","Saskatoon","47725"
"29","Lethbridge","48810"
"30","Calgary","48825"
"31","Edmonton","48835"
"32","Kelowna","59915"
"33","Abbotsford - Mission","59932"
"34","Vancouver","59933"
"35","Victoria","59935"
